emotion,title,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,Time21,Time22,Time23,Time24,Time25,Time26,Time27,Time28,Time29,Time30,Time31,Time32,Time33,Time34,Time35,Time36,Time37,Time38,Time39,Time40,Time41,Time42,Time43,Time44,Time45,Time46,Time47,Time48,Time49,Time50,Time51,Time52,Time53,Time54,Time55,Time56,Time57,Time58,Time59,Time60,Time61,Time62,Time63,Time64,Time65,Time66,Time67,Time68,Time69,Time70,Time71,Time72,Time73,Time74,Time75,Time76,Time77,Time78,Time79,Time80,Time81,Time82,Time83,Time84,Time85,Time86,Time87,Time88,Time89,Time90,Time91,Time92,Time93,Time94,Time95,Time96,Time97,Time98,Time99,Time100,Time101,Time102,Time103,Time104,Time105,Time106,Time107,Time108,Time109,Time110,Time111,Time112,Time113,Time114,Time115,Time116,Time117,Time118,Time119,Time120,Time121,Time122,Time123,Time124,Time125,Time126,Time127,Time128,Time129,Time130,Time131,Time132,Time133,Time134,Time135,Time136,Time137,Time138,Time139,Time140,Time141,Time142,Time143,Time144,Time145,Time146,Time147,Time148,Time149,Time150,Time151,Time152,Time153,Time154,Time155,Time156,Time157,Time158,Time159,Time160,Time161,Time162,Time163,Time164,Time165,Time166,Time167,Time168,Time169,Time170,Time171,Time172,Time173,Time174,Time175,Time176,Time177,Time178,Time179,Time180,Time181,Time182,Time183,Time184,Time185,Time186,Time187,Time188,Time189,Time190,Time191,Time192,Time193,Time194,Time195,Time196,Time197,Time198,Time199,Time200,Time201,Time202,Time203,Time204,Time205,Time206,Time207,Time208,Time209,Time210,Time211,Time212,Time213,Time214,Time215,Time216,Time217,Time218,Time219,Time220,Time221,Time222,Time223,Time224,Time225,Time226,Time227,Time228,Time229,Time230,Time231,Time232,Time233,Time234,Time235,Time236,Time237,Time238,Time239,Time240,Time241,Time242,Time243,Time244,Time245,Time246,Time247,Time248,Time249,Time250
happiness,happy,87.03106,87.393394,172.38417,90.70759,86.796425,91.31078,92.18296,87.71847,88.092705,339.46802,87.72174,352.44354,115.65546,117.31504,347.61227,349.85843,276.1475,257.8163,245.1111,264.3891,262.00076,268.30438,261.35477,126.08467,306.6038,314.06683,315.30582,309.19257,313.76282,115.89614,173.61789,174.70668,349.4097,280.9255,164.63908,172.34853,178.84259,177.288,169.15424,163.75906,169.62747,185.81796,103.02553,209.33752,103.137726,217.06503,107.55453,216.4084,210.11057,233.52196,241.85309,233.73624,217.92468,205.12311,209.87903,106.97842,418.8604,434.49387,137.27328,138.1457,412.98026,413.86237,414.9169,138.52298,211.00554,419.91742,419.25302,115.76781,229.49147,293.3165,308.3502,316.4287,104.233444,347.22165,343.9248,347.2418,113.81603,325.47083,111.72885,114.31008,361.016,363.07263,342.47864,327.9563,91.673676,87.9555,87.43278,309.3096,311.50403,316.90842,341.07886,347.51285,348.14178,349.52023,352.46063,351.15808,350.67282,119.58452,176.24643,177.5688,364.82034,131.0221,97.850266,389.16522,363.12213,338.19717,321.42105,314.11627,313.26645,315.0105,317.4214,307.85373,317.14154,91.41963,315.52335,313.89288,314.59906,312.3007,314.9863,100.06197,349.83133,341.9704,341.02518,347.61475,121.037674,91.67998,88.542206,89.24455,96.41926,88.71896,87.11867,113.43282,104.54558,109.766815,105.916664,103.034584,125.430626,113.62426,107.5474,104.642914,103.75014,104.77938,155.46793,623.06854,311.65897,314.0159,316.31665,309.07352,310.3414,313.39584,943.66315,315.4871,522.8265,525.08527,526.7382,117.404305,234.91582,234.517,235.34872,236.94353,236.59499,87.35026,103.28986,237.43336,233.3427,241.89227,241.18115,262.10495,235.38676,172.35428,171.92154,173.36772,90.65448,89.31913,87.638664,109.68648,333.63507,356.10483,175.67352,102.639595,298.68726,115.2391,116.7547,342.29745,165.62843,332.3076,88.502075,86.82385,87.30655,88.313644,101.568665,87.39214,173.32967,89.08387,179.31305,175.77258,175.90877,153.35617,316.67667,155.03598,154.14992,156.7608,118.97034,87.415596,89.424774,87.500496,88.04187,86.93592,350.63785,517.036,88.37057,103.49581,118.90312,116.60127,156.00352,171.64651,89.01004,89.73389,87.58462,87.6904,87.343834,171.01869,177.39894,175.4484,131.20322,113.8938,303.74234,103.31857,116.41871,93.777054,87.29769,115.795,88.52972,87.80444,88.99864,87.63663,90.865265,90.44773,90.16908,90.84051,87.71012,112.784065,88.335396,118.25338,87.7973,427.94867,422.8529,437.39188,419.70297,420.69006
happiness,best day of my life,602.7127,594.7438,86.30137,746.0215,746.8153,748.02527,748.63635,672.59955,99.47724,86.30137,108.34245,86.30137,504.88278,507.44086,504.30548,508.36563,145.67036,100.59513,118.918846,98.626976,91.544586,111.007935,89.2804,590.2186,740.766,747.2303,745.9064,748.83936,746.35626,596.70386,86.30137,904.5189,891.23645,896.8103,901.4564,900.0621,112.00045,678.39984,738.67615,745.0022,111.58619,750.35016,148.08195,99.80064,442.79117,87.48702,442.3618,368.68652,99.0666,741.85016,98.809685,86.30137,908.2098,892.41205,896.0016,884.2148,679.56714,106.732574,91.73287,370.6949,434.34897,90.27747,366.54904,364.27454,358.70227,289.67853,86.30137,93.99459,371.60095,87.84896,107.76532,110.6113,330.47766,108.66221,331.59146,330.28043,333.34167,345.49274,112.29037,97.63904,86.30137,109.704544,327.14743,332.1102,328.06543,105.65435,249.32724,103.593185,650.73615,683.4739,679.23413,682.5192,681.02515,675.386,664.82056,444.48254,440.7726,86.30137,87.46065,96.26915,95.29102,107.78665,97.69025,86.30137,108.91342,106.61989,122.68437,219.03406,86.30137,97.98607,103.10148,676.3021,93.62771,107.39123,95.77557,96.62959,99.651886,101.88247,86.30137,292.57288,146.74715,291.93854,214.93408,221.92772,422.79865,436.17117,435.57523,434.1609,438.16434,109.13478,440.5024,432.51392,372.08148,381.548,382.42712,371.11685,97.73597,97.864685,293.90277,147.32275,97.18709,308.5081,571.2567,87.314125,439.32574,448.6778,109.45087,436.1637,95.1551,363.76453,351.64374,328.973,329.58212,328.63184,328.28674,329.0187,111.348175,329.30655,86.30137,91.6178,216.05551,224.71785,179.2951,182.76685,368.013,358.40775,316.70468,436.85297,147.5521,147.17827,87.240974,462.93088,109.90426,97.661156,97.02968,93.22705,90.41101,459.07358,110.1648,435.89334,439.26663,183.12364,449.36987,109.1246,96.4705,91.98122,432.06836,181.25287,175.68822,331.172,107.90118,163.58,331.6913,109.99122,110.510796,470.9801,453.4191,220.14488,294.6521,110.169945,97.86005,224.63977,219.9716,439.34702,434.32352,295.461,295.4766,295.3548,295.07565,294.79532,294.76083,294.48572,294.36392,295.6136,320.2148,249.62897,248.97044,248.9712,248.50784,248.13568,248.17441,248.21434,247.59363,245.84964,221.37918,221.57162,221.30417,221.01721,220.72182,220.6095,220.3756,220.56706,220.82092,989.84174,249.54341,249.55235,249.12672,249.33022,249.14426,248.70364,166.59561,167.14822,166.9212,166.79506,166.30867,165.58171,165.81221,166.2361,166.68025,167.72084
happiness,touch the sky,183.91028,86.30137,244.24583,258.44125,258.3649,236.80429,232.08664,229.15779,222.52704,222.67409,234.75815,207.0284,105.036316,120.45287,230.06682,283.50723,285.2398,284.11554,210.94075,206.6119,267.64273,247.96837,246.35118,256.1683,267.01306,263.41714,244.04121,238.49826,235.25304,239.49515,208.96567,207.17702,235.43932,245.76285,284.56833,286.8575,181.57855,215.29973,242.42583,244.9926,242.57558,235.83388,242.66527,109.92076,212.44273,211.07324,86.30137,102.35871,86.30137,194.10138,174.72043,237.85333,232.91159,239.84702,482.8909,232.0473,226.1475,219.78938,215.49037,203.12039,230.20715,240.8442,251.20857,267.33533,208.01912,89.74906,86.30137,91.73266,90.260155,86.30137,86.30137,87.37493,92.73198,207.4229,87.0037,87.37192,87.38816,87.80457,262.2964,263.07648,266.4227,93.57212,221.51205,216.12238,191.94926,86.61771,96.48625,95.45184,94.664215,211.79745,215.4368,215.7805,193.39528,189.8296,202.48976,207.64948,213.45343,231.98566,229.79573,243.17007,211.61906,252.19525,100.72326,86.30137,86.30137,243.63216,161.5614,107.42098,198.21906,199.34879,175.77203,178.25714,188.93506,192.5206,213.99867,211.93507,201.21701,157.29544,183.82492,233.18562,259.72083,262.59866,273.1483,267.02835,241.47038,236.90958,224.55182,236.53488,237.63264,209.50005,208.54025,192.44986,207.3931,113.503296,112.08763,113.72196,282.7258,282.19272,286.28955,201.12653,216.73363,253.89258,261.74945,279.5489,251.11205,245.34683,239.63432,242.25618,277.31888,239.94363,120.33423,606.9301,605.2602,597.80383,107.010155,642.33435,708.28955,713.23267,758.4538,755.7481,248.45149,748.3321,747.8972,750.4866,191.8026,191.73836,148.5566,146.9188,112.06782,115.9798,126.28348,105.41214,159.30627,86.30137,271.59348,285.6492,339.54858,748.8693,363.489,103.83932,86.30137,89.446495,161.07362,765.99603,320.66785,348.77066,333.82202,335.293,830.49506,817.67755,809.6938,806.9217,801.4766,798.86615,805.1025,785.7448,390.88544,389.04575,395.80386,800.21326,800.7759,792.52765,798.024,781.7781,781.12506,782.46045,784.8609,790.60065,789.72614,796.16583,801.1758,791.93506,779.1765,391.69156,805.25696,814.88776,819.5408,809.5441,787.1641,388.6808,383.89185,382.60788,126.04653,90.78442,86.4447,110.93215,219.20317,95.18548,117.022675,128.05067,226.75404,224.82455,96.00127,212.13557,205.11436,187.91281,191.85735,193.83849,189.08679,180.14645,187.12944,101.49933,90.12549,89.99258,93.62772,200.43108,211.81836,216.31082,217.03558,108.72152
neutral,just the way you are,349.41495,337.05023,1713.9344,874.01355,87.62013,87.93826,87.884674,87.55985,87.36047,87.740555,87.80164,87.71061,87.56019,87.5019,87.634476,87.689835,87.80079,87.78819,87.71402,87.40708,87.32963,87.57614,87.89499,222.14474,87.73969,87.46083,87.866936,87.866295,87.863014,87.85135,87.79848,88.08058,87.844246,87.87423,87.88986,446.47375,446.6395,447.09888,87.91419,445.9392,443.9741,87.556946,87.47504,87.4222,87.404076,87.41116,87.39417,87.521,87.651024,87.60584,87.4998,87.50346,87.37815,174.84631,175.8669,87.61776,87.90898,88.04894,87.87706,87.92301,87.97116,87.788536,87.89328,87.8051,87.91526,87.915794,87.47403,87.54762,87.59352,87.54321,87.6022,87.58093,87.644226,87.51316,87.3627,174.32152,349.68225,349.51483,116.33732,116.421875,116.524445,116.762634,116.27422,114.093796,440.29517,441.747,87.93942,87.95147,441.10938,441.4542,440.656,438.35037,438.2757,438.21472,437.18613,440.47385,438.92233,87.74228,87.765625,87.81987,87.69235,87.769714,87.6325,87.43608,87.79627,87.745575,87.840965,87.771614,87.67348,88.4402,444.70767,87.51833,88.45086,88.19717,87.871994,88.28803,87.77003,87.88938,87.489235,87.66307,87.66689,87.63772,87.82995,87.67642,87.87079,87.80022,374.39093,377.44778,378.61655,380.2611,365.84808,88.13248,87.92871,355.27225,145.82593,98.30023,97.97677,97.848625,294.79703,87.617355,87.79861,87.7738,87.73656,87.771706,87.57078,87.67881,146.30658,87.757965,87.82781,87.83252,87.8327,87.79047,87.620995,87.86148,87.71332,87.7258,87.64104,87.5222,109.2759,146.6377,146.76353,437.6845,146.2642,219.7622,146.8182,146.43903,146.45421,146.35213,87.805084,88.032715,87.77581,87.76972,87.7943,87.95705,87.9322,88.0032,88.0054,87.68799,87.85803,296.68307,146.63103,146.54669,146.01836,147.24483,147.18298,147.40709,146.9227,146.08133,146.17865,146.27545,146.63254,147.40385,145.61942,293.15756,146.68407,146.94478,147.50404,150.1653,153.92513,228.5741,152.15253,151.03085,88.35929,446.9297,448.36472,447.6594,153.80226,155.03717,153.74474,453.246,151.04213,86.30137,232.02904,225.56871,135.74713,87.45318,87.775955,87.05374,230.87817,87.02155,87.44567,231.4919,115.97797,232.25516,232.25768,232.42996,86.30137,233.87372,233.7967,234.6033,232.9315,117.06632,116.678986,115.982925,233.62347,233.61726,232.42151,234.19656,231.96709,227.09431,229.41118,112.38257,87.67352,87.75601,87.478264,87.60151,87.45957,87.33685,87.46166,87.353745
neutral,chariot,327.06302,332.0917,332.21423,332.77066,332.2283,331.2549,133.4291,482.614,165.7049,165.5574,165.46957,165.37877,165.39513,165.3332,164.99178,221.7414,221.01111,442.7718,444.71893,447.74335,221.20631,220.11703,221.30638,222.41798,221.14346,221.05542,221.91165,222.77736,221.8259,221.51227,220.9415,220.88507,220.71289,220.68568,220.52568,220.44206,220.68117,131.72946,131.7871,131.95871,393.5022,395.2627,334.40912,333.72058,332.9839,333.1997,333.1369,98.312416,123.95419,98.94524,110.424866,223.57603,223.49738,96.960144,184.30792,185.90784,187.30363,188.29735,195.1435,192.77562,191.92418,191.53853,192.98961,111.05052,99.9423,97.987686,99.030464,198.82964,199.22426,104.90688,103.52679,98.36139,231.6123,233.4452,232.49597,225.80452,212.60411,207.86342,315.07117,257.93417,122.723915,241.04172,254.00026,248.34358,243.0004,235.09976,225.97513,222.7233,224.11111,263.031,97.592255,101.154495,130.12077,187.11104,184.77759,223.14076,228.84416,225.55408,196.71613,97.67951,98.90553,98.83142,99.03236,98.66062,98.46423,98.41965,98.10758,98.35577,98.74819,226.96992,221.20023,115.46513,233.1149,117.91937,239.37479,243.48735,100.42506,130.93639,123.81125,248.79398,249.53857,125.03098,248.14818,248.22272,196.43187,175.90286,98.46191,96.27261,110.229744,109.06591,116.85132,146.94316,98.80831,102.76563,98.47558,97.600876,96.74162,97.64618,99.15192,101.73213,286.63663,292.3453,593.1819,596.19855,293.7807,98.203766,147.76938,147.21118,97.88736,97.81724,292.48,97.87229,302.48914,222.12431,165.30925,97.596695,295.89987,98.618355,98.51317,194.64435,97.10313,111.09673,165.2101,98.50637,98.284035,286.01956,289.5284,292.63202,294.35706,295.89117,295.81244,295.49927,147.95712,147.41046,146.75249,87.87997,98.34664,198.03058,98.61697,98.4297,220.12764,218.45642,97.77211,198.20648,98.09488,188.15231,180.1471,220.32645,95.73084,205.29022,208.2602,206.0017,98.48764,203.59044,196.99393,101.79129,100.68521,225.84677,230.2215,98.08374,110.13079,110.30113,164.1318,331.81824,334.02908,194.20583,124.75712,122.86949,123.019684,98.698265,102.901054,114.570404,118.79697,130.11967,202.05373,201.9511,155.6225,151.1097,148.97449,147.94789,148.29332,116.69734,116.18411,109.92168,107.64847,101.48568,196.34561,197.0142,98.00215,200.20956,229.47334,197.69255,97.73386,297.5361,302.09464,147.61263,494.1446,493.2145,505.54214,481.77728,471.46332,943.1922,924.4346,922.1547,916.2816,910.0691,909.8583,903.97595,92.38307,92.55107
neutral,cold water,429.9633,145.42528,439.11334,145.53139,437.38257,145.78609,438.05096,436.3342,437.9861,435.89832,436.7279,437.8709,436.99612,437.54318,437.48148,438.3299,437.87805,438.21036,438.36957,437.6844,436.8601,437.63638,438.12076,437.9681,437.09253,439.13513,437.59573,436.80295,437.7021,437.43118,219.06627,437.9335,438.4022,437.49243,436.35986,438.04907,218.11624,145.98503,146.26784,146.0432,438.29227,145.71748,145.71579,437.43924,146.03821,146.14139,437.1593,218.48112,145.91165,437.9191,145.93738,145.68343,145.90475,146.22563,145.81094,145.52635,290.5644,146.1097,436.52115,145.84486,294.6489,145.78134,145.93474,146.32553,146.37721,146.42413,146.02742,146.02011,146.63716,146.77399,146.38628,291.65604,145.50352,294.2776,122.50216,142.13116,284.71823,275.5879,275.30228,276.15753,279.24567,92.367096,92.72508,184.44641,93.13749,279.48157,279.10312,277.79715,110.2393,275.2578,220.22667,193.42351,109.94126,108.27004,218.32335,221.50873,221.81271,214.74019,217.91252,220.0865,219.96031,221.52597,219.74796,220.07234,220.97446,220.14563,167.1375,163.01369,162.90694,164.87283,141.97676,139.62265,139.40366,136.43558,140.51027,138.69313,139.34593,138.88763,138.02974,138.0322,138.79593,139.15167,160.36656,322.73874,326.91364,321.06992,146.17902,147.48851,147.09047,146.88692,147.259,146.47974,147.30894,146.55052,146.08188,146.96825,146.76578,146.59247,146.68935,146.42216,146.30663,146.62602,146.29417,146.31578,146.60616,148.47633,145.59908,147.558,146.85132,145.81326,145.99638,147.82043,145.77786,147.2275,146.94121,146.49731,145.4478,147.7637,139.49518,140.21175,145.67004,118.5872,588.5564,558.5278,554.1197,552.05585,554.025,294.51486,146.80661,292.82318,293.27994,294.37012,293.6765,293.3307,293.5857,146.74904,295.5599,173.42143,184.768,185.75624,184.89961,185.35005,185.14598,185.42749,92.98125,93.281265,92.35539,92.84992,91.609024,92.690704,93.82913,92.66971,92.60267,92.77227,92.17873,92.34333,92.06439,88.272026,741.1032,244.28192,249.83907,255.30243,270.7483,277.7005,111.0754,270.4125,219.96754,226.11685,242.99577,229.86913,218.4787,110.221344,110.914,272.97366,280.28464,284.70605,295.594,312.8831,326.98245,330.22418,332.6971,333.00192,328.54416,315.79443,280.33505,273.09845,271.99292,275.90094,278.31992,280.1048,281.3667,280.5052,276.96207,273.41223,276.2497,140.68385,139.67215,135.76859,137.21152,141.0657,141.56467,139.22252,138.94106,139.33876,135.47,138.7286,138.18817,137.63467,138.7813,139.07933
sadness,so sick,147.80861,184.17877,147.92061,148.28741,148.54643,148.70802,148.55278,148.71796,148.4306,148.51715,148.32587,148.6999,149.16937,148.84822,149.55228,149.58104,149.11565,148.82858,148.66042,140.09381,139.35936,139.10117,139.56142,138.9513,139.66339,139.3835,139.53166,139.73576,139.3486,139.90524,139.33296,139.79347,139.67674,139.46523,139.94131,374.60883,379.80673,377.31323,377.72095,383.22223,379.60562,378.87485,252.37202,247.63295,248.01184,243.91322,246.39046,246.43251,249.96193,249.77544,250.36107,247.37166,245.84293,244.45609,245.40034,123.160645,123.34199,122.86627,123.59043,122.676895,123.106544,122.61482,178.07463,93.75392,93.017365,92.61141,91.830765,182.63362,92.234146,100.14995,92.07894,91.04453,90.651794,205.84578,461.29486,93.990166,235.5523,92.8563,468.49225,230.39319,230.81836,231.10799,93.37192,116.744484,93.48104,93.82333,240.9152,241.41928,241.02115,119.486084,236.68039,235.98405,117.39246,234.09984,208.89456,210.26784,208.14061,204.64929,199.61374,203.01501,204.99675,204.87651,205.73106,206.02022,204.82088,204.59116,206.65155,237.85124,93.264015,100.791595,100.678345,100.75104,100.945335,100.60816,101.87843,184.76503,185.69243,185.31676,184.77827,186.75266,184.53053,184.06279,185.43613,183.37064,185.0965,184.92809,182.42993,184.61588,154.78375,155.85582,155.16214,187.34901,185.84192,186.87611,417.7805,412.2929,206.54718,207.34526,102.88226,104.14441,103.348015,104.606834,104.04883,103.2496,103.17965,103.23667,103.78995,103.264336,102.66178,204.22948,103.49754,207.64392,103.61857,227.7121,230.44955,123.48406,368.4449,371.2209,367.03488,372.15634,370.5047,125.83738,91.9931,91.72832,302.5666,302.0138,304.84818,310.34537,317.32056,104.26495,406.44214,418.31653,140.412,86.30137,367.79285,373.27313,369.88568,366.76108,366.58032,366.23386,368.92026,364.134,361.26645,149.62154,96.69886,134.76056,134.87193,133.55898,133.76924,147.15799,140.86478,142.6034,140.96901,136.713,137.03528,99.89539,242.79659,116.57227,86.30137,184.30696,94.25549,93.68945,104.18039,94.04561,95.507454,93.36644,92.81856,96.398834,100.34362,103.3216,103.0795,101.91584,101.96215,103.41544,210.95735,86.30137,114.00572,206.98604,87.21934,154.76305,141.474,140.97137,139.3438,143.31712,119.828125,88.853905,209.98517,203.74802,204.31485,212.11885,206.58714,102.80719,99.23506,99.46212,98.422554,177.57802,180.8761,182.71193,181.94138,86.30137,184.71068,181.6173,181.2467,182.04378,89.95821,149.82762,139.12039,136.62209,137.65176,86.30137
sadness,I'm not the only one,208.78432,259.81494,261.83093,261.81024,261.29526,261.1513,525.3551,260.71356,261.07895,261.08664,261.6411,261.20135,130.86832,87.721504,87.460655,87.58691,263.42868,258.17566,253.1789,253.32129,253.39473,136.45209,186.81482,264.44162,265.98062,262.52417,261.58383,260.1703,260.80893,261.30038,261.91092,261.92676,262.13306,262.0982,187.83766,191.03506,169.92485,87.12313,173.93166,173.53789,173.38002,181.03987,261.4585,262.78494,174.13498,87.38296,261.50058,261.63205,87.42657,87.46838,106.72086,107.50941,107.68464,185.45778,179.6425,174.70575,172.51848,176.40903,176.05101,172.92712,174.78004,175.3722,173.28125,173.56413,173.9014,174.69766,87.87558,87.4715,87.214455,87.238815,87.38485,175.26874,87.48429,174.47556,174.67546,173.55128,175.03894,175.01442,173.69482,88.45454,181.16074,179.0627,178.15967,178.27533,176.60004,171.82045,169.49377,87.31822,87.62136,88.33126,88.01414,88.01667,171.47182,215.4071,114.93018,269.0817,263.6878,274.5208,262.12473,132.61423,292.96454,288.03058,258.32306,221.75542,217.27382,90.11981,165.0686,169.35843,172.49176,174.05258,173.5797,86.30137,87.52901,103.08563,222.50603,132.6954,270.58844,267.281,268.61487,175.82716,87.10289,267.5104,281.46774,294.0907,292.17444,289.94305,103.472374,103.19797,106.51853,270.72183,272.934,98.42436,290.35855,288.57492,280.76096,213.18651,165.54613,166.38336,164.96466,163.7108,168.56888,176.84082,227.88971,221.43675,86.50006,89.281075,193.54356,212.8912,230.89954,170.97263,170.50696,174.82751,174.84012,182.18474,185.74156,86.30137,169.18172,171.00311,172.08897,264.26794,90.661705,301.27197,295.18097,296.59863,290.78342,86.80452,86.30137,191.43367,110.02269,89.761406,178.99776,175.00104,178.27354,195.74477,107.32795,183.04092,271.89664,295.78204,295.40787,292.01688,289.18762,184.2867,90.31954,92.4626,259.10504,294.91006,292.05377,292.2743,86.30137,181.98578,167.99428,170.54214,176.05217,177.6351,174.61826,194.59276,97.22304,221.63145,86.63224,87.65162,97.54227,97.73576,100.273224,100.95483,101.43162,96.91794,296.04163,330.48688,349.8675,352.8686,161.20448,174.12321,174.03052,350.61307,352.3108,176.98233,353.2399,351.1685,350.27902,348.87317,348.32397,348.27756,348.76724,350.27005,352.23944,351.46274,352.2787,352.71985,346.65817,87.285484,87.45626,87.14302,87.62295,86.75529,87.24482,87.25202,87.11229,87.11937,87.36498,87.52125,87.3913,87.293976,87.44175,87.451035,87.45993,87.68525,87.52481,110.18653,109.87582,438.93933
sadness,say something,295.71472,294.27606,292.56473,293.70892,294.0365,295.69257,293.9079,294.62463,293.72037,293.6775,293.63937,294.6507,293.99268,293.76294,293.70868,293.8015,293.64706,293.61688,293.53918,294.92487,294.10272,293.77594,293.98688,293.6539,293.56372,293.4802,293.63797,293.57416,293.14432,293.50348,294.33218,294.05716,294.6599,294.41605,294.18225,294.64713,293.9739,293.93893,293.58597,294.32138,294.22806,293.65186,294.4435,293.84058,294.04208,294.06876,294.61157,294.48865,294.70813,294.15268,293.89667,294.24298,293.718,294.64487,293.71603,295.29178,293.92477,293.32846,294.56924,294.01395,294.641,293.59543,294.04453,294.62286,294.22974,294.1851,294.10593,293.86465,294.22928,294.35455,293.42896,293.95294,293.95963,293.7925,293.82214,293.93256,294.00592,293.6699,294.4062,294.32816,294.16855,293.93002,293.6539,293.90375,294.04233,293.8552,294.53198,294.37277,294.36874,294.07962,293.9286,293.94598,294.07547,294.01483,294.09506,294.35822,293.92188,293.91873,293.86392,294.3197,294.28214,295.13873,294.08484,293.6802,293.92966,294.0214,294.15024,294.0225,294.15033,294.2543,292.64996,292.55252,293.13788,293.85342,292.78,295.10767,294.03503,293.23233,294.54913,294.7924,292.6827,294.3852,293.9993,293.59628,294.60504,294.11142,294.0249,293.83533,293.333,293.587,293.8058,294.32486,293.23135,294.37445,293.97452,293.74982,293.28168,293.77203,292.99817,293.47845,294.10577,294.1465,294.3855,293.68982,294.25388,294.49573,294.99158,294.35852,293.83502,293.96262,294.08096,293.70364,294.14816,293.50262,293.5171,294.12842,294.14362,293.65872,294.4124,294.34927,294.70847,294.5226,294.71173,294.035,292.99017,293.79294,294.4591,294.11172,293.70035,294.76648,293.58405,293.4822,294.38184,293.94196,292.95316,294.11984,294.36554,293.49655,294.33456,293.84448,294.17346,293.9123,293.947,293.91827,293.85336,293.69528,293.816,294.08948,293.76822,293.77875,293.79117,293.91693,294.09387,293.4049,294.05438,294.35953,293.80316,293.80084,293.33444,293.83685,293.66428,292.12857,293.92023,295.3129,293.66644,294.90732,293.52283,293.66153,293.63654,294.0679,293.5685,292.9333,292.8996,294.30014,293.21124,293.69913,294.2202,293.511,293.65833,294.3222,147.32678,146.11896,147.27606,147.34918,148.54105,147.8452,143.57849,143.67558,296.45667,97.68731,97.566444,97.51936,97.25369,97.34133,97.83054,98.12952,98.62318,98.84687,98.28804,97.76247,97.45512,97.29617,97.8222,97.67763,97.23013,97.534615,97.4714,98.75698,99.55718,99.933205
surprise,abram's pursuit,89.053535,87.036255,185.49042,86.99658,87.23866,173.10387,175.22282,173.02708,173.0582,176.66426,175.88872,173.15318,173.0127,173.09868,177.07608,175.12375,174.13132,177.54288,175.15486,173.48813,174.88982,175.71234,176.28479,174.44502,175.48145,173.5884,173.9872,173.83849,174.0666,87.23561,189.1776,172.09494,173.07634,190.03563,173.8765,175.07504,176.09503,174.48521,174.64388,174.37581,178.06303,176.65117,174.19603,180.60507,175.17603,172.53964,173.5813,190.012,176.42647,173.37735,173.73967,173.87624,175.05193,174.61931,174.5766,175.3466,190.32056,87.3442,86.87238,174.40108,176.86803,175.03915,174.63214,88.053986,173.37546,175.73756,176.99055,174.1563,174.62634,175.7627,174.87091,87.34699,174.33798,87.81748,87.88586,175.23747,174.19139,175.09726,174.77771,174.58656,174.92833,175.19498,175.6217,87.72398,175.37361,174.47855,174.94658,174.72284,175.6795,174.98161,174.87059,175.16795,174.79341,174.74548,175.48146,89.042816,88.49515,87.80432,88.09604,88.42769,87.35908,175.95218,87.67394,174.4422,87.97231,175.17741,175.64459,175.93134,175.754,174.48557,174.94157,87.268845,174.57393,175.20197,87.844894,174.03413,175.08185,174.29858,174.37895,174.43315,174.93651,175.16373,175.48767,174.97586,179.80295,177.44878,175.003,87.06459,172.57957,104.69973,98.59646,96.00465,117.284805,117.2394,98.46606,98.15434,97.71816,97.97468,98.378494,98.21237,98.16477,97.941505,97.66491,96.95516,175.40709,88.32488,91.11284,206.09541,214.46246,87.26557,87.13137,87.25777,86.76645,87.60575,87.35863,88.02889,174.55783,86.840454,175.88403,175.6808,175.14888,176.67856,175.65285,175.42036,176.0838,174.94867,174.52097,174.01285,175.86206,175.06902,175.62856,176.83205,195.44142,195.77124,175.35045,178.3172,186.22346,179.76183,990.2188,852.7423,86.52583,171.19374,174.75804,179.27101,174.91689,173.76015,180.13184,172.84235,176.28326,176.17528,175.13216,87.30632,175.09827,174.87936,194.78087,192.44788,192.40247,195.09796,185.83923,187.25374,174.36755,175.66417,183.19745,179.69682,171.56837,193.08873,176.86554,178.13686,116.210045,86.99752,87.97463,87.26967,87.233315,87.26011,87.07454,88.15376,87.9257,86.80398,87.78861,87.2038,87.06881,174.50226,174.00502,88.602005,175.96231,173.2739,173.07224,87.37078,175.06393,174.0428,173.52289,176.01888,174.29497,174.84477,175.83278,174.867,194.65628,193.0225,178.58371,182.3096,172.81557,181.66039,181.27628,178.49756,174.88625,91.37259,174.88747,87.22015,176.03726,174.24481
